"SalePrice","TotalRooms","Bedrooms","FullBath","HalfBath","Fireplaces","LivArea","GarageArea","PoolArea","YearBuilt","YearSold","BldgType"
142250,6,3,1,1,0,1232,490,0,1966,2010,"1Fam"
143000,6,3,1,1,2,1328,528,0,1963,2010,"1Fam"
128950,6,3,1,1,0,1225,0,0,1959,2010,"1Fam"
159000,6,3,1,0,0,1209,504,0,1966,2010,"1Fam"
178900,6,3,2,0,0,1510,517,0,1967,2010,"1Fam"
136300,8,3,2,0,0,1775,480,0,1964,2010,"1Fam"
180500,6,3,1,0,1,1152,484,0,1964,2010,"1Fam"
137500,6,3,1,0,0,1054,480,0,1963,2010,"1Fam"
84900,10,6,2,0,0,1728,0,0,1962,2010,"Duplex"
142125,5,2,1,0,0,1078,240,0,1950,2010,"1Fam"
197600,7,3,2,0,2,2461,400,0,1952,2010,"1Fam"
172500,6,3,2,0,1,1556,470,0,1949,2010,"1Fam"
116500,4,2,1,0,0,858,0,0,1958,2010,"1Fam"
76500,6,3,1,0,0,1306,0,0,1940,2010,"1Fam"
128000,6,3,1,0,0,1063,280,0,1954,2010,"1Fam"
153000,7,3,1,0,2,1520,364,0,1955,2010,"1Fam"
132000,7,2,1,0,1,1268,244,0,1954,2010,"1Fam"
178000,5,2,1,0,1,1128,315,0,1966,2010,"1Fam"
154300,12,5,2,0,0,2274,480,0,1960,2010,"Duplex"
180000,7,3,2,0,1,2207,576,0,1970,2010,"1Fam"
190000,6,2,2,1,1,1888,578,0,1966,2010,"1Fam"
135000,8,4,2,0,0,1604,576,0,1958,2010,"Duplex"
214000,7,3,2,0,0,1480,620,0,2003,2010,"1Fam"
136000,6,3,1,0,0,1143,308,0,1959,2010,"1Fam"
165500,6,4,1,1,1,1700,447,0,1959,2010,"1Fam"
145000,5,3,1,0,0,1314,294,0,1957,2010,"1Fam"
148000,6,3,1,0,0,1194,312,0,1959,2010,"1Fam"
142000,6,3,1,0,0,1188,531,0,1959,2010,"1Fam"
167500,6,3,1,0,2,1264,461,0,1960,2010,"1Fam"
108538,6,3,1,0,0,1206,312,0,1959,2010,"1Fam"
159500,6,3,1,1,2,1580,440,0,1959,2010,"1Fam"
108000,5,3,1,0,0,1337,263,0,1956,2010,"1Fam"
135000,4,2,1,0,0,1064,318,0,1952,2010,"1Fam"
122500,5,3,1,0,0,972,305,0,1955,2010,"1Fam"
119000,5,2,1,0,0,988,264,0,1958,2010,"2fmCon"
109000,5,3,1,0,0,1057,246,0,1953,2010,"1Fam"
105000,4,2,1,0,0,985,676,0,1920,2010,"1Fam"
107500,5,2,1,0,1,827,392,0,1955,2010,"1Fam"
144900,6,3,1,0,0,1086,490,0,1954,2010,"1Fam"
129000,4,2,1,0,0,936,308,0,1956,2010,"1Fam"
97500,6,3,1,0,1,1458,330,0,1948,2010,"1Fam"
144000,4,0,0,0,0,1056,576,0,1980,2010,"Duplex"
162000,7,3,1,0,1,1287,576,0,1959,2010,"1Fam"
242000,11,5,2,1,1,2978,564,0,1967,2010,"1Fam"
132000,5,3,1,0,0,1224,280,0,1948,2010,"1Fam"
154000,6,3,1,1,0,1246,305,0,1959,2010,"1Fam"
166000,6,4,2,0,0,1385,720,0,1952,2010,"1Fam"
134800,5,3,1,0,0,900,576,0,1951,2010,"1Fam"
160000,5,3,1,1,0,1116,440,0,1962,2010,"1Fam"
148000,6,3,1,1,0,1175,484,0,1960,2010,"1Fam"
192000,7,2,1,0,1,1395,440,0,1963,2010,"1Fam"
155000,7,4,1,1,1,1839,442,0,1966,2010,"1Fam"
80400,9,3,1,0,2,1844,240,0,1900,2010,"1Fam"
96500,7,3,1,0,0,1140,0,0,1910,2010,"1Fam"
109500,5,2,1,0,1,936,0,0,1920,2010,"1Fam"
115000,5,2,1,0,1,1028,360,0,1927,2010,"1Fam"
143000,6,3,1,0,0,1347,551,0,1957,2010,"1Fam"
107400,8,3,2,0,0,1605,379,0,1915,2010,"1Fam"
80000,4,2,1,0,0,747,220,0,1945,2010,"1Fam"
119000,4,2,1,0,2,804,240,0,1940,2010,"1Fam"
130000,6,3,1,0,0,1316,484,0,1929,2010,"1Fam"
119000,6,3,1,0,0,1251,240,0,1938,2010,"1Fam"
129000,7,3,1,0,1,1633,240,0,1948,2010,"1Fam"
1e+05,6,3,1,0,0,1245,315,0,1920,2010,"1Fam"
105900,5,2,1,0,0,720,484,0,1928,2010,"1Fam"
150000,7,3,2,0,0,1566,288,0,1900,2010,"1Fam"
139000,7,4,2,0,0,1652,416,0,1915,2010,"1Fam"
240000,7,3,3,0,0,2268,624,0,1890,2010,"1Fam"
76500,12,4,2,0,0,2256,0,0,1910,2010,"2fmCon"
149700,6,2,1,0,0,1236,923,0,1957,2010,"1Fam"
125500,6,3,1,0,0,1363,528,0,1910,2010,"1Fam"
122500,11,4,2,0,0,2290,560,0,1885,2010,"2fmCon"
140750,6,2,1,1,0,1470,624,0,1922,2010,"1Fam"
128500,7,3,1,1,0,1612,363,0,1950,2010,"1Fam"
209500,8,3,1,1,1,2068,315,0,1922,2010,"1Fam"
87000,4,2,1,0,0,765,200,0,1925,2010,"1Fam"
134000,5,2,1,0,0,1132,240,0,1939,2010,"1Fam"
128000,6,3,1,1,2,1196,576,0,1940,2010,"1Fam"
132000,7,3,1,1,2,1453,240,0,1942,2010,"1Fam"
139900,6,3,1,1,0,1416,312,0,1948,2010,"1Fam"
123900,5,2,1,0,0,1040,624,0,1936,2010,"1Fam"
138400,7,4,2,0,1,1536,480,0,1930,2010,"1Fam"
109500,5,2,1,0,1,1068,288,0,1923,2010,"1Fam"
140000,9,3,2,0,0,1710,480,0,1921,2010,"1Fam"
149500,9,4,1,1,1,1962,572,0,1915,2010,"1Fam"
159900,7,3,1,1,0,1560,0,0,1912,2010,"1Fam"
122000,6,3,1,0,0,1324,180,0,1920,2010,"1Fam"
110000,5,2,1,0,0,816,516,0,1963,2010,"Duplex"
140000,8,4,2,0,1,1812,672,0,1900,2010,"2fmCon"
244400,10,4,2,0,2,2403,349,0,1940,2010,"1Fam"
173000,8,3,2,0,2,1675,365,0,1959,2010,"1Fam"
107500,6,3,1,1,0,1224,180,0,1917,2010,"1Fam"
1e+05,6,3,1,0,0,1392,0,0,1915,2010,"2fmCon"
95000,5,3,1,0,0,919,231,0,1940,2010,"1Fam"
93369,7,4,1,1,0,1884,0,0,1907,2010,"1Fam"
114900,7,2,2,0,1,1680,450,0,1910,2010,"2fmCon"
94000,6,2,1,0,0,1020,0,0,1875,2010,"1Fam"
136000,8,4,2,0,0,1832,0,0,1967,2010,"Duplex"
136500,8,4,2,0,0,1768,0,0,1968,2010,"Duplex"
131500,6,3,1,1,0,1039,504,0,1965,2010,"2fmCon"
121500,5,3,1,1,1,1392,528,0,1957,2010,"1Fam"
125000,5,3,1,0,1,912,336,0,1967,2010,"1Fam"
154000,6,3,1,0,1,1060,270,0,1968,2010,"1Fam"
137900,5,3,1,0,0,892,416,0,1966,2010,"1Fam"
158000,7,4,1,1,0,1352,299,0,1969,2010,"1Fam"
137250,4,2,1,0,0,864,280,0,1968,2010,"1Fam"
160250,5,3,1,0,2,1373,591,0,1978,2010,"Duplex"
163000,7,4,1,1,2,1440,480,0,1968,2010,"1Fam"
158900,6,3,2,1,1,1386,440,0,1978,2010,"1Fam"
328000,7,3,2,1,0,2260,533,0,1996,2010,"1Fam"
270000,4,1,1,1,2,1483,690,0,1977,2010,"1Fam"
85000,4,2,1,0,0,756,440,0,1927,2010,"1Fam"
128000,4,2,2,0,0,1067,436,0,1950,2010,"1Fam"
260000,4,0,0,1,1,1524,586,0,1979,2010,"1Fam"
230000,8,4,2,1,1,1981,522,0,1978,2010,"1Fam"
124000,8,4,2,0,1,1610,480,0,1938,2010,"1Fam"
83000,5,2,1,0,0,835,366,0,1920,2010,"1Fam"
144500,6,3,1,0,1,1074,467,0,1950,2010,"1Fam"
129000,6,3,1,0,0,1144,596,0,1956,2010,"1Fam"
127000,8,3,1,0,1,1531,209,0,1947,2010,"1Fam"
128000,5,3,1,0,0,1172,366,0,1954,2010,"1Fam"
186000,6,3,2,0,0,1212,460,0,2009,2010,"1Fam"
308030,5,1,1,0,2,1508,572,0,2009,2010,"1Fam"
114000,5,3,2,0,0,1298,504,0,1964,2010,"1Fam"
84900,6,2,1,0,0,930,308,0,1946,2010,"1Fam"
178000,7,3,2,1,1,1732,476,0,1985,2010,"1Fam"
270000,4,1,1,1,2,1433,528,0,1987,2010,"1Fam"
218000,8,3,2,1,1,1802,1017,0,1993,2010,"1Fam"
236000,8,3,2,1,1,1949,574,0,1993,2010,"1Fam"
147000,5,2,1,0,0,996,564,0,1992,2010,"1Fam"
245350,7,3,2,0,0,1694,776,0,2008,2010,"1Fam"
206000,6,2,2,0,0,1208,632,0,2006,2010,"1Fam"
198900,6,3,2,0,0,1226,740,0,2009,2010,"1Fam"
187000,6,2,2,0,0,1222,615,0,2010,2010,"1Fam"
320000,11,5,3,0,2,3222,594,0,1990,2010,"1Fam"
138500,6,3,2,0,0,1445,484,0,1900,2010,"1Fam"
155000,6,3,1,0,0,1052,440,0,1971,2010,"1Fam"
159000,4,2,1,0,0,965,580,0,1996,2010,"1Fam"
191000,8,3,2,1,1,1692,513,0,1997,2010,"1Fam"
200500,7,3,2,1,0,1682,523,0,1998,2010,"1Fam"
150000,5,3,1,1,0,1026,308,0,1977,2010,"1Fam"
161750,6,3,1,1,0,1392,299,0,1977,2010,"1Fam"
128200,5,3,1,0,0,894,308,0,1976,2010,"1Fam"
127000,5,3,1,0,0,876,484,0,1972,2010,"1Fam"
318000,8,3,2,1,1,1978,850,0,2003,2010,"1Fam"
272000,6,3,2,0,1,1601,670,0,2001,2010,"1Fam"
237000,7,3,2,1,1,1829,613,0,2003,2010,"1Fam"
240000,9,4,2,1,1,2098,621,0,1997,2010,"1Fam"
224900,6,3,2,0,0,1661,598,0,1998,2010,"1Fam"
143750,4,1,1,0,0,848,420,0,2003,2010,"TwnhsE"
143000,3,1,1,0,0,848,420,0,2004,2010,"TwnhsE"
232000,8,3,2,0,1,1668,502,0,2003,2010,"1Fam"
213000,7,3,2,0,0,1484,606,0,2004,2010,"1Fam"
185500,6,3,2,0,0,1414,494,0,2004,2010,"1Fam"
84900,5,2,1,0,0,640,240,0,1945,2010,"1Fam"
155891,6,3,1,0,0,992,319,0,1954,2010,"1Fam"
1e+05,8,4,2,0,0,1664,0,0,1965,2010,"Duplex"
144000,6,3,1,0,0,1196,336,0,1968,2010,"1Fam"
64000,5,2,1,0,0,1120,480,0,1948,2010,"1Fam"
125200,5,3,1,0,1,1096,352,0,1975,2010,"1Fam"
107000,6,3,1,0,1,1117,672,0,1976,2010,"1Fam"
90000,5,3,1,0,0,960,0,0,1958,2010,"1Fam"
140000,5,2,2,0,0,1121,440,0,2003,2010,"1Fam"
113000,7,3,1,1,1,1487,220,0,1945,2010,"1Fam"
80000,5,2,1,0,0,924,280,0,1941,2010,"2fmCon"
144500,7,4,1,0,1,1526,364,0,1957,2010,"1Fam"
104000,5,2,2,0,1,1296,260,0,1924,2010,"1Fam"
128000,6,4,1,1,0,1647,216,0,1915,2010,"1Fam"
127000,6,3,2,0,1,1691,308,0,1924,2010,"1Fam"
126000,4,2,1,0,1,856,399,0,1939,2010,"1Fam"
160000,10,6,3,0,0,2650,0,0,1967,2010,"Duplex"
1e+05,7,3,1,0,1,1666,0,0,1931,2010,"1Fam"
169000,10,4,2,0,1,2447,336,0,1919,2010,"1Fam"
257500,8,4,1,1,2,2133,312,0,1941,2010,"1Fam"
215000,11,5,2,1,0,2177,484,0,1950,2010,"Duplex"
266500,9,4,2,0,2,2340,252,0,1941,2010,"1Fam"
335000,7,3,2,0,2,1902,567,0,1959,2010,"1Fam"
203135,6,3,2,1,0,1652,473,0,1994,2010,"1Fam"
185000,4,1,1,0,1,1034,598,0,1989,2010,"TwnhsE"
162500,5,2,2,0,1,1191,531,0,1989,2010,"TwnhsE"
289000,6,1,2,0,2,1801,484,0,1959,2010,"1Fam"
125500,7,3,1,0,0,1154,240,0,1922,2010,"1Fam"
82000,4,1,1,0,0,540,200,0,1941,2010,"1Fam"
110000,5,2,1,0,0,1107,625,0,1921,2010,"1Fam"
68400,6,2,1,0,0,1128,528,0,1920,2010,"1Fam"
102776,7,2,1,0,0,1178,384,0,1900,2010,"1Fam"
246000,5,2,2,0,1,1646,525,0,2004,2010,"TwnhsE"
254900,8,3,2,1,1,1916,741,0,1998,2010,"1Fam"
190000,6,3,2,0,1,1285,473,0,1977,2010,"1Fam"
201000,7,3,2,0,0,1560,573,0,2003,2010,"1Fam"
169900,6,3,1,0,0,1034,888,0,1976,2010,"1Fam"
170000,9,5,3,0,0,2048,776,0,1976,2010,"Duplex"
160000,7,3,1,0,2,1687,572,0,1948,2010,"1Fam"
220000,6,3,2,0,1,1346,660,0,2008,2010,"1Fam"
179781,6,2,2,0,0,1214,520,0,2009,2010,"1Fam"
174000,7,3,2,1,0,1444,400,0,2006,2010,"1Fam"
269500,8,4,2,1,1,1968,680,0,2009,2010,"1Fam"
214900,8,4,2,1,1,1894,510,0,2002,2010,"1Fam"
202900,9,4,2,1,0,1908,431,0,2002,2010,"1Fam"
378500,10,3,2,0,1,2018,746,0,2008,2010,"1Fam"
169000,7,2,1,0,1,1264,528,0,1965,2010,"1Fam"
173500,7,3,2,0,0,1430,624,0,2004,2010,"1Fam"
139000,8,4,2,2,0,1824,0,0,1971,2010,"Duplex"
166500,7,3,2,0,1,1344,686,0,1999,2010,"1Fam"
83500,6,3,1,1,0,1092,286,0,1973,2010,"TwnhsE"
119500,5,2,1,0,1,945,253,0,1973,2010,"Twnhs"
85000,4,3,1,1,0,1112,336,0,1976,2010,"TwnhsE"
76000,5,3,1,1,0,1092,0,0,1970,2010,"Twnhs"
75500,3,1,1,0,0,630,0,0,1972,2010,"TwnhsE"
88250,5,3,1,1,0,1092,0,0,1970,2010,"TwnhsE"
85500,5,3,1,1,0,1092,286,0,1972,2010,"TwnhsE"
130000,5,3,1,0,0,874,352,0,1971,2010,"1Fam"
157900,6,3,1,0,0,1188,312,0,1962,2010,"1Fam"
149900,5,2,1,0,0,833,495,0,1984,2010,"1Fam"
159000,10,4,4,2,0,2432,616,0,1985,2010,"Duplex"
136000,6,3,1,1,0,1274,576,0,1991,2010,"1Fam"
161000,8,5,2,0,0,1479,275,0,1969,2010,"1Fam"
285000,6,3,2,1,2,1803,482,0,1994,2010,"1Fam"
231000,7,3,2,1,1,1797,616,0,1993,2010,"1Fam"
124500,5,2,1,0,0,882,502,0,1956,2009,"1Fam"
157000,7,4,2,0,1,1434,528,0,1974,2009,"1Fam"
345000,9,4,2,1,3,2704,538,0,1972,2009,"1Fam"
189500,7,3,2,1,1,1608,470,0,1997,2009,"1Fam"
270000,9,4,2,1,1,2283,632,0,2003,2009,"1Fam"
189000,7,3,2,1,1,1628,390,0,1996,2009,"1Fam"
377500,7,3,2,0,2,1746,758,0,2006,2009,"1Fam"
168500,7,3,2,1,1,1474,400,0,1995,2009,"1Fam"
375000,8,1,2,0,1,2522,564,0,2004,2009,"TwnhsE"
278000,5,2,2,0,1,1659,499,0,2000,2009,"TwnhsE"
240000,5,2,2,0,0,1478,495,0,1998,2009,"1Fam"
239500,6,2,2,0,0,1734,528,0,1995,2009,"TwnhsE"
177500,7,3,2,1,1,1382,396,0,1998,2009,"1Fam"
185000,7,3,2,1,1,1718,427,0,1998,2009,"1Fam"
191000,7,3,2,1,1,1636,440,0,1998,2009,"1Fam"
178000,7,3,2,1,1,1571,380,0,1993,2009,"1Fam"
185000,6,3,2,1,1,1470,420,0,1993,2009,"1Fam"
181316,7,3,2,1,1,1516,409,0,1994,2009,"1Fam"
166000,6,3,2,0,1,1190,430,0,1993,2009,"1Fam"
178000,7,3,2,1,1,1593,389,0,1992,2009,"1Fam"
174000,6,3,2,1,1,1481,343,0,1994,2009,"1Fam"
173000,6,3,2,0,0,1167,400,0,1992,2009,"1Fam"
225000,9,3,2,1,1,1983,490,0,1999,2009,"1Fam"
180500,5,3,2,0,0,1442,500,0,1990,2009,"1Fam"
187500,4,1,1,0,1,1360,565,0,1984,2009,"TwnhsE"
372500,7,3,2,1,1,2046,834,0,2008,2009,"1Fam"
260000,7,3,2,0,1,1530,430,0,2005,2009,"1Fam"
185000,6,3,2,1,1,1934,567,0,1977,2009,"1Fam"
260000,10,4,2,1,1,2353,484,0,1980,2009,"1Fam"
181000,7,3,2,0,1,1586,435,0,1979,2009,"1Fam"
82500,6,3,2,0,1,1411,544,0,1977,2009,"1Fam"
215000,8,3,2,0,1,1602,529,0,1977,2009,"1Fam"
154000,8,4,2,1,1,2050,529,0,1978,2009,"1Fam"
2e+05,7,3,2,0,1,1671,484,0,1978,2009,"1Fam"
249000,9,4,2,1,1,2673,441,0,1980,2009,"1Fam"
187500,6,3,2,0,2,1472,588,0,1980,2009,"1Fam"
184000,7,3,2,0,1,1707,479,0,1978,2009,"1Fam"
278000,9,4,2,1,1,2524,542,0,1981,2009,"1Fam"
157000,7,3,2,0,1,1601,478,0,1978,2009,"1Fam"
152000,6,3,2,0,1,1370,479,0,1976,2009,"1Fam"
197500,9,4,2,1,1,1868,484,0,1976,2009,"1Fam"
240900,7,3,2,1,1,1884,581,0,2003,2009,"1Fam"
263435,8,3,2,1,0,1935,552,0,2009,2009,"1Fam"
220000,7,3,2,1,1,1874,588,0,2000,2009,"1Fam"
235000,7,3,2,1,1,1811,565,0,2002,2009,"1Fam"
213000,7,3,2,0,2,1621,478,0,1975,2009,"1Fam"
167900,6,3,2,0,1,1116,528,0,1974,2009,"1Fam"
158000,5,3,2,0,1,1193,506,0,1975,2009,"1Fam"
165000,7,3,2,0,1,1350,478,0,1974,2009,"1Fam"
158000,7,3,2,1,1,2119,583,0,1972,2009,"1Fam"
136000,8,4,2,2,0,1792,0,0,1974,2009,"Duplex"
148500,5,3,1,0,0,1002,902,0,1970,2009,"1Fam"
156000,5,3,1,0,0,1026,440,0,1969,2009,"1Fam"
128000,6,2,1,1,0,1180,477,0,1970,2009,"1Fam"
143000,6,3,1,1,0,1050,336,0,1971,2009,"1Fam"
76500,5,3,1,0,0,864,576,0,1970,2009,"1Fam"
120500,5,3,1,0,0,864,660,0,1970,2009,"1Fam"
124500,5,3,1,0,0,864,463,0,1970,2009,"1Fam"
97000,4,2,1,0,0,864,576,0,1971,2009,"1Fam"
130000,5,3,1,0,0,864,576,0,1971,2009,"1Fam"
111000,5,2,1,1,0,987,264,0,1973,2009,"Twnhs"
125000,7,3,1,1,0,1365,440,0,1970,2009,"TwnhsE"
112000,6,3,2,1,0,1302,280,0,1971,2009,"Twnhs"
97000,5,2,1,1,0,987,288,0,1972,2009,"Twnhs"
118000,5,2,1,1,0,987,264,0,1972,2009,"Twnhs"
119500,6,3,2,1,0,1302,264,0,1972,2009,"Twnhs"
143750,5,2,2,0,0,958,440,0,1976,2009,"TwnhsE"
146000,7,3,2,1,1,1548,440,0,1976,2009,"TwnhsE"
148500,7,3,2,1,1,1456,440,0,1976,2009,"Twnhs"
123000,4,2,2,0,1,1055,440,0,1975,2009,"Twnhs"
147000,6,3,2,1,1,1322,440,0,1974,2009,"TwnhsE"
137900,6,3,2,1,1,1456,440,0,1977,2009,"Twnhs"
147000,7,3,2,1,1,1548,440,0,1978,2009,"TwnhsE"
148500,7,3,2,1,1,1441,440,0,1978,2009,"Twnhs"
138000,6,3,2,1,1,1456,440,0,1978,2009,"TwnhsE"
128500,5,2,1,0,0,836,345,0,1976,2009,"TwnhsE"
1e+05,5,3,1,0,0,892,288,0,1967,2009,"1Fam"
148800,5,3,1,0,1,1120,656,0,1966,2009,"1Fam"
337500,7,3,2,0,1,1718,786,0,2006,2009,"1Fam"
325000,6,2,2,0,2,1652,840,0,2006,2009,"1Fam"
256300,7,3,2,0,1,1600,890,0,2007,2009,"1Fam"
253293,8,3,2,1,1,2042,1390,0,2008,2009,"1Fam"
398800,8,3,2,1,1,2690,864,0,2009,2009,"1Fam"
335000,10,3,2,1,1,2184,836,0,2008,2009,"1Fam"
404000,7,3,2,0,1,2020,896,0,2008,2009,"1Fam"
402861,9,3,2,1,1,2020,900,0,2009,2009,"1Fam"
