"listing_id","id","date","reviewer_id","reviewer_name","comments","review_scores_rating"
291812,98353677,"2016-08-30",52586952,"Giselle","Very pleasant stay. Natalie's place is very nice and artistic. .she was very helpful during my stay.",5
295231,11185117,"2014-03-24",3226800,"Erika","Loved living in Felicia's room. The location of her apartment was wonderful- in the heart of Williamsburg and close to multiple subway lines which was easy to get to. Her roommates were easy to get along with and very friendly. Her room was clean and ready for me when I got there. Would happily stay again. Also very easy to communicate with!",4
327521,54129586,"2015-11-16",6040471,"Marina","We had a brilliant week at Esther's flat. She wasn't there to greet us when we arrived but we were let in and shown around by a neighbour.  Ester was very responsive and helpful all through the process of booking and accessing the flat.  The flat is small but perfectly suitable for a couple or two close friends and it is ideally located in the East Village a short walk from Soho, Little Italy, West Village.",4
362139,93018643,"2016-08-11",21853939,"Julian","Amazing place, location, and host. The apartment is great and so close to the train!",5
363950,102901824,"2016-09-19",95475893,"Isaiah","EXCELLENT HOST!!!!",5
394115,177067763,"2017-08-01",27500294,"John","Leah's place is in a fantastic location, near the L subway, the B43 bus up to Greenpoint, and surrounded by cafes, delis, burrito stores, you name it. The room is huge, with three windows filling the room with natural light, which I love. However, I will say that if you are a clean freak, this is not the place for you. Other than that, the apartment is cool and well decorated, and the cat is pretty friendly. Leah keeps herself to herself, and seems like an interesting woman given the art and old movie posters around the place.",4
408406,226820368,"2018-01-12",1784668,"Katie","Loved stay at this beautiful apartment in Brooklyn. The space is even bigger than the photos suggest, and is in the most amazing location - super close to the Barclays center, all of the major subways, and really wonderful restaurants and bars! Sai was communicative, kind and gave some amazing recommendations about places she loved in the area! Would reccomend this apartment to any guest!",5
415304,77378272,"2016-05-31",3149823,"Carly","Martis was so easy to communicate with and his apartment is clean and beautiful. It's also in the most convenient location for pretty much everything. I highly recommend staying!",5
419792,226085793,"2018-01-08",38908918,"James","This is the perfect location to explore the Lower East Side and a stellar apartment. Would definitely book again if possible.",5
447766,18099542,"2014-08-21",17310843,"Zhou","really humorous guy,like you.",4
481073,237606750,"2018-02-23",40223838,"Michael","Very attentive, very responsive. Jean cares about her guests' experience. 

Very centrally located - a great launch pad for your time in new york.

Top floor, so no neighbors.

Recommended!",5
487872,2158053,"2012-09-01",2218180,"Ishe'","Words can't even begin to express what an AMAZING experience my daughter & I had while staying at Kimberly's space!





She welcomed us bright & early in the morning with a genuine smile, open arms, & plush fresh linens awaiting us :)





Her space was a dream!!! ... Super clean & very serene! 


A waterfall provided a calm & tranquil environment, & Kimberly's easygoing personality & authentic spirit was a ""breath of fresh air"" 





She was absolutely wonderful to stay with & I would recommend her space to anyone looking for a little serenity in brooklyn!",5
505231,1536928,"2012-06-22",2557891,"Maggie","This was my first time doing this, and I am happy to report that it was a great experience. I would do it again, without question.",5
516643,3263527,"2013-01-04",4075429,"Maria","You will definitely enjoy staying in Williamsburg in Stephane's apartment! The building is very modern and clean, pleasant neighbourhood. It's 3 minutes walk to Subway and 10 minutes ride to centre of Manhattan. Doormen are for you 24/7. The apartment itself is very light, fully equipped and comfortable for 2-4 people staying. Special Thank You for Stephane's hospitality and openness.",5
521806,40237409,"2015-07-29",17134068,"Scott","My stay at Anna's place was wonderful! Everything was exactly as described. The living space and bed were comfortable, the place was clean, and the views were great! Lots of charm and character.





Location was a very nice, quiet neighborhood. I drove, so I was worried about finding a parking spot, but most days, I was able to find a spot on the same block. Shops and groceries were also within walking distance, as was the subway station, for access to Manhattan. Basic cable TV and free wifi worked great.





I had a housemate, in the form of Anna's cat. She was cute, and did not bother me except to let me know when it was time to feed her, which was an easy task. I was warned that the cat was not friendly to strangers, but we managed to coexist just fine!





I did not get to meet Anna, but she arranged for someone to meet me with the key and show me around.  Check out was also simple, and I was able to simply leave the key on the table, lock the door, and be on my way without delay.





I would definitely stay here again, and would highly recommend this listing to others.",5
521820,19565090,"2014-09-14",2307140,"Jos","Great neighbourhood, steps from the subway. Awesome apartment.",5
530632,204523146,"2017-10-18",2344170,"Linda And Robert","Very nice third-story room with full bathroom on the floor below. Justine is a very accommodating host who provided access to the full apartment (except their rooms). So it was easy to get work done at the dining table while sipping a glass of wine! She was there with her husband during my stay but we hardly crossed paths just due to different schedules. Great pets!",5
550653,223730388,"2018-01-01",157961618,"Emilio","Had a great time in New York. The place was quiet, clean and the host was very nice.",5
560406,1686368,"2012-07-11",803131,"Sarah","Annie was a fantastic host and very easy to work with. She responds to messages quickly and has a nice system set up for retrieving/dropping off the keys. Her place is in an AMAZING location - less than one block to all the restaurants on Smith St., and close to the subway. Highly recommended.",5
565814,123272162,"2016-12-28",29744010,"Yui Heung","Clean and very cozy room. Close to the subway. Quite safe, just be careful if you come back very late at night. Heather is nice and very helpful. It is a very good experience staying here.",5
587519,28916721,"2015-03-31",9391090,"Merryn","Great big room that was very unique and inspired a creative headspace. Keyboard was available to use which was epic!


It's definitely not a place for someone looking for a classy hotel room, but for someone wanting to live with other people doing their thing in NY in a real home full of heaps of character and warmth. Loved it!


",4
607316,107464036,"2016-10-10",96550305,"Diana","Loved my stay in Harlem! The apartment is beautiful, clean and comfortable. Troy was an incredible host and followed up to check on my arrival status as I was coming in late. Troy and his roommates are incredibly kind and made my friend and I feel welcomed! The location is perfect to catch the 1 subway too. I'd recommend this location- if I return to NYC, I'd definitely look to stay here again!",5
637228,228938932,"2018-01-21",50243452,"Kei","very nice place.clean and comfortable.I recommend this house.",4
680225,224602649,"2018-01-03",89712413,"Linda","We stayed in Alice's private room and it was amazing! It's a cozy townhome located a few blocks away from the subway station decorated with books and photos. The bedroom was up a short flight of stairs, and had a desk (in case you needed to get work done) as well as a bunch of lamps for good lighting. Cats roam everywhere including upstairs-which is great if you love nice kitties, but if you don't like them or are allergic to cats, this place may not be suitable for you. However, we stayed for 5 days and 4 nights and the cats were not a problem. Amenity-wise, we had everything we needed like towels and soaps, blankets and pillows, and heaters in the bedroom, and Alice even made coffee for us in the morning if we woke up late. When we checked in on a Friday night, we arrived around 1am after getting off a late flight from Newark airport. Alice stayed awake to let us in and gave us a quick tour of the house. The next morning, she knew we didn't have any breakfast foods prepared so she went out into the snow and bought us apples and pastries to eat with our morning coffee (that she also provided for us.) It was a great gesture because we were famished at that point and were meeting up with people in Manhattan which would have delayed our breakfast another 30 minutes if we were to eat there. There's no question why Alice is a super host. She's simply a delight to stay with.",5
696593,38518378,"2015-07-16",35913578,"Larry","Karin went out of her way to make us feel welcome at her apartment. She provided us with all of the info we needed regarding the unit and the neighborhood.





This very comfortable unit is in a nice quite area of Park Slope.  We have ""hoteled""  Brooklyn for several years in a row and this stay was easily our most relaxing.





My wife and I highly recommend staying at Karin's apartment.",5
714075,6323758,"2013-08-08",6915020,"Martin","Enid was a great host. She made my Brooklyn experience amazing. She was very helpful with everything and the place is incredible: big, sunny and clean (3 things not always available in NY). Clinton Hill is a lovely neighborhood, perfect to escape from the noise and fast-life of the city. I would definitely recommend anyone to stay with her.",5
716169,32127815,"2015-05-14",997352,"Jeff","Melissa was an excellent host and was able to meet up as I arrived and  give me any information I was going to need about the apartment and the rest of the neighborhood. The apartment was really great! Really added a nice level of comfort to my trip.",5
726692,44825637,"2015-08-29",35380075,"Sherif","It was a nice vacation in Ramon house thanks",3
738588,52711008,"2015-11-01",44748840,"Audrey","Marina was a lovely host- flexible and accommodating.  The apartment was clean and well stocked with basic amenities.  We would return.",5
741806,104127239,"2016-09-25",1821042,"Shahnee","Viva was a consummate host!  My flight was delayed despite it being very late, she greeted us outside her building. Upon settling in, she graciously offered us a glass of wine. She made sure we were settled and felt comfortable. She really paid attention to the details, from the stack of fresh towels, to making sure we had coffee in the morning, to the croissants she had for us. Viva's apartment was sparkling clean, lots of beautiful artwork to take in and a cool 60's vibe with a sunken living room. The bedroom itself is huge with an a/c unit and lots of natural light and closet space. Viva was consistently considerate and communicative with her coming and goings and spent very little time in the apartment during our visit and always attentive to our needs. We really felt as though we were given a lot of space. The express A train makes the trip downtown/uptown bearable. I would definitely return and recommend Viva's apartment. Not to mention you are steps away from the magical cloisters and a beautiful park!",5
751113,105130687,"2016-09-30",11047720,"Dre","Johan was an exceptional host who made my stay at his apartment comfortable and inspiring.",5
755684,3268091,"2013-01-04",4153733,"Tennesse","Sandra's cozy unit was absolutely perfect for our New York City experience. It's in the trendiest part of town, central to all of the cutest shops, cafes,subway stations and bars! Not only was the location fabulous, but the apartment itself was well equipped, a comfortable double bed, central heating for the chilly winter months, Internet, ipod speakers, functionally stocked kitchen and hot water. Sandra was fantastic to deal with and although she was away on holidays at the time, was particularly responsive and gave us a local contact in regards to check-in/out, who was also very friendly! My friend and I would both absolutely recommend this Apartment for those looking to soak in the true NYC lifestyle, and we would hurry back in an instant as soon as the opportunity arose. I'd conclude by saying that the location, convenience and organisation of the whole apartment rental contributed to our unforgettable NYC holiday experience! Thanks Sandra :)",5
757007,32911933,"2015-05-23",29855896,"Alfredo","Chanelle es una persona muy amable. Responde correos inmediatamente. Apartamento localizado en una muy buena zona de Brooklyn. Hay paradero de metro a dos cuadras. Hay paradero de bus al frente. El ascensor facilita el subir las maletas. El apartamento es muy iluminado y ventilado. Ordenado por todas partes, muy limpio, moderno y acogedor. Recomendable totalmente",5
764052,123114726,"2016-12-27",78961860,"Michael","My stay at Sabrina's location was excellent. The check-in went smoothly, her instructions were clear and simple, and the apartment was exactly as advertised. Moreover, she was especially accommodating and allowed us (my wife and I) to use her apartment as if it was our own. This was my best Airbnb experience so far and I'd certainly contract with Sabrina again.",5
769175,165677395,"2017-07-01",106466616,"Marcus","Amy had the best stocked kitchen and the place was so homely.",5
769279,72262149,"2016-05-01",730920,"Colin","Can't say enough great things about Sasha and this room in Alphabet City. Extremely clean, well located room with perks like an excellent rooftop and near semi private bathroom. Roommates Ben and Chris were equally helpful and fun to stay with for the month I was here.",5
770514,20026037,"2014-09-22",5800726,"Daniel","Excellent location and great apartment. It was clean and spacious. Niki was very responsive all the time and flexible with our requests.",4
775016,131244834,"2017-02-11",20400377,"Dada Unity","The Reggae Den is in a Great community ,,,I love eating and enjoying a nice glass of wine at the end of the day and the community was well equipped with nice restaurants as well as small quaint spots to grab and go.I was able to walk from the train  or  take a short bus ride because it's a lil cold due to the fact it winter.I was worries about the noise of being in the city but the block is quiet and the apartment in nestled away in a nice Brownstown...lot of blankets and (Website hidden by Airbnb) was just relaxing ....seamless Uber and door dash deliver so if you want to stay in and just chill you have that option...its just a nice comfortable environment ""No Worries""",5
789988,101274071,"2016-09-12",4578686,"Giles","Staying at Brittneys was lovely! When we arrived there was a cute picnic hamper with some wine and other bits along with some nyc guidebooks. Her place was very clean and conveniently close to the subway. She made us feel very welcome :)",5
798128,125010816,"2017-01-03",106532014,"Javier","Todo genial en el apartamento, un barrio muy tranquilo y seguro.",5
804861,3549427,"2013-02-15",2261368,"Theresa","I went to Brooklyn because my college age daughter needed foot surgery.  What could have been a pretty miserable experience, trying to care for an 18 year old in the snow, turned into a vacation due to Michelle and Margaret's beautiful home and great energy.  Michelle even allowed us to extend our stay a few extra days.  As for the home, it was quite large on two levels, with many distinct spaces for a variety of uses.  Amazing kitchen, luxurious bathrooms and super clean. The home is even better than in the pictures. We will have to return in better weather to enjoy the large backyard.  The neighborhood was very safe, easy for walking to local cafes and shops and close to the subway.  Great experience and pretty hard to take a kid back to the dorms after that!",5
807882,5437601,"2013-06-30",1434511,"Christopher","This was an idyllic place to come back to at the end of each day. The apartment is located two blocks from the L and there are so many lovely places in the neighbourhood. It's on a tree lined street, at the back of a brownstone and the area is so relaxed and quiet, all day and night, which is surprising given the hustle and bustle of Williamsburg these days.


Morgan and Brandon were great hosts. They have a really clean, well presented home and were very welcoming. The bathroom is wonderful, the bed is super comfortable and what the pictures don't show are the two beautiful gardens that the bedroom window looks out on to. 


I would stay here again for sure.",5
808476,8461248,"2013-11-01",8240458,"Ram","Excellent host, excellent apartment. I stayed here for 35 days without a single problem. The place was always clean and quiet. It is 3 minutes from the subway. Wendee is an excellent host and was always offering me home-cooked food, and she has excellent advice on what to do for fun in the local area. My stay here surpassed all expectations, and if I ever need a place to stay in NYC again I will most definitely try to stay here once more.",5
811129,59132828,"2016-01-07",47011237,"Yoon","The location is super best to go everywhere in NYC, even to airport, very close to penn station, 3min. by walk. The host was also informative and easy to contact so I felt no inconvenience in staying. Besides, kitchen is included in the room but bathroom isn't. which is okay cause I met nobody in the hall. I strongly recommend this room to someone with need to move easily and emphasis on own's privacy!!",5
811950,36965149,"2015-07-03",23934045,"Cole","Thought we didn't get the chance to meet in person, Sophia was welcoming, communicative and attentive during my stay.  She put me in touch with her local friend Odai to make sure I had everything I needed to feel at home in a strange place.  Can't ask for more from a host.",5
820801,19414309,"2014-09-12",2390027,"Sam","LeeAnn is a great Airbnb'er, it was very quick and easy to arrange a stay at her home. Her place really is an amazing apartment just off McCaren park with lots of bars and restaurants around the corner. It's also very easy and quick to get to the island. Thanks",5
843943,181939910,"2017-08-13",143064263,"Kayvan","I stayed at Alexander's place in Astoria over 5 nights for business/leisure. The location is quiet and very safe, the people are friendly, and the neighbourhood is scenic, vibrant and full of culture.

If you're in New York, travelling by public transit is one of the best ways to get around. Alexander's place is within walking distance to the subway and also has some great places to eat if you're on-the-go in the morning, want to sit down and enjoy some authentic Mediterranean cuisine, or need to grab a late dinner.  The commute into Manhattan from his home is also seamless.

His home is a short drive to LaGuardia Airport by taxi (which you can wave down/hail along any of the main streets in the area). If you're flying in from JFK, making the stay in Astoria is worth it if you plan on travelling into Manhattan.

Alexander was frequently checking in to make sure my stay was going well and was quick to respond to my questions with really handy tips and suggestions. Alexander's roommate, Amanda, was also very accommodating and amicable :) Thanks so much for having me and for making my first time in New York awesome!",5
852121,8123323,"2013-10-16",9080275,"Christine","This is a great spot! 2 blocks from 135th street subway on the 2 line, area's safe and diverse there's a supermarket and pharmacy 1 block away! We were two women and never felt unsafe.. just one subway to midtown (times sq, penn stn) 





Apt is great, awesome doormen, nice people, laundry, clean cozy spot.. it was much nicer than the listing pics so I took some of my own :) 





Rob, is great he stays in contact any questions etc. he answered right away.





We would definately stay there again!


Chris",5
872795,26986634,"2015-02-23",20464251,"Paul","Thomas was a great host with a fantastic place to stay. He made me feel at home from the moment I arrived.  His apartment is everything you could ask for and so close to the subway for a wuick trip to Manhattan. Would definitely recommend and also would stay again.",5
880811,202704369,"2017-10-12",15884625,"Chris","Best location",5
908923,88578027,"2016-07-24",995092,"Tomazo","Pontos positivos: Esta localizado em um bairro incrivel, perto de todos os melhores restaurantes e bares. Tem tudo perto!
Pontos negativos: fica no ultimo andar, o ar condicionado nao gela muito bem e a limpeza nao estava em dia.",3
908923,177151744,"2017-08-02",85189253,"Jackie","The host canceled this reservation 242 days before arrival. This is an automated posting.",3
912376,11335695,"2014-03-30",7239391,"Saskia","I really loved staying at Maria's. The room and apartment were so lovely, the location was great and Maria made me feel so at home. 





Thank you",5
914325,79212923,"2016-06-11",75499517,"Ben","Nice place.  The apartment was clean and quiet.  The bed and comforter was comfortable, clean, and warm.  The boards definitively made the room interesting.  Not much around the immediate area of the apartment, but it is a 10-minute slow walk away from the J and M. 





Nolan was responsive and friendly.  We texted about various specifics before I arrived and he was always fast in responding.  He met me when I arrived and gave me the keys and showed me the apartment.  He then just left me alone, which is what I wanted.  Very chill place.",5
919990,125014603,"2017-01-03",105498387,"Zachary","Sarah's apartment was very comfortable. I would definitely stay there again. Also, Sarah was very helpful during our stay and promptly responded to any concerns. Apartment is very well described in summary and close to subway. Thanks again, Sarah!",5
981410,4100173,"2013-04-09",3552687,"Ellen","Maria's apartment is cozy, cute and sunny! It had everything we needed and especially the neighborhood is AWESOME! We could jog along the Hudson river in the morning, and had a very nice brunch restaurant right near the apartment. Also Washington square park is just a few minute away. It was great time staying in Maria's apartment. And Maria was so flexible and communicative and everything was so easy and simple. Thanks Maria!!!",5
1026992,210649298,"2017-11-10",152978101,"Omar","This is an espectacular place to stay. You have everything that you need to enjoy NYC. You will have an incredible attention and a lots of places to walk and enjoy. 

Don't think about a reservation. Just do it and enjoy NYC.",5
1099518,223634180,"2018-01-01",117326582,"Franklin","Quick response. Close to public transportation. Enjoyed my stay!",5
1115381,46650358,"2015-09-12",9928716,"Cathy","Lovely room, comfy bed, and an easy stay.",5
1123934,25206669,"2015-01-09",8327777,"Serhat","We had a great time staying at Holly&Bjarke's house. The apartments bright,clean and silence. Also the location was excellent. The house is just one minute from the subway station and the most famous restaurants and bars of Williamsburg are very close. Bjarke&Holly provided us some information about apartment which we found very useful. We would not hesitate to stay here again if we returned to NY. It was a good experience.",5
1126944,24663012,"2015-01-01",18691953,"Sandra","Tina is a great host. She was very helpful and was ready to answer all our questions promptly. We spent ten days at this house at Christmas and we had a wonderful time. The house is in a safe location and has parking space. It is located close to restaurants and supermarkets and at walking distance to the subway! We were seven adults and it was great to have two full bathrooms but the shower on the basement had only warm water. The basement was a little bit cold and the bed was very hard. The heating system is noisy but Tina mentioned it to us and there are lots of toys everywhere. We enjoyed very pleasant times at the dinning table and we were able to prepare our Christmas dinner in Tina's kitchen. The house is under renovation so be prepared to see some walls without painting and the railing going upstairs would need to be fixed for safety. For the seven of us and for the time that we were there Tina's house was a very good option for us as a big family but I still prefer to stay in a hotel when travelling without the group.",4
1156977,47194579,"2015-09-16",18104168,"Keiran","I had the best time at Jeff and Sabines!


Their place is perfect, exactly how it is described, if not better!


Its in a really cool part of town - with probably the best rooftop in Brooklyn - seriously. The apartment is super clean and tastefully decorated. The shower is amazing and the kitchen is perfect if one likes to cook!


I will definitely be re-visiting.


Thanks J and S x",5
1190223,231734561,"2018-02-02",68886304,"Karin","I really enjoyed my stay in this apartment. Unbelievable location next to lots of cool bars and restaurants. Easy commute to manhattan with the N, W or 7 line. The apartment is clean, nicely decorated, spacious and super well equipped. Very calm as well.",5
1194508,83058181,"2016-07-01",37687663,"Amy","Mareike was the kindest host and her (Hidden by Airbnb) were incredibly nice as well. She trusted me to use her bike (even though I never did) and even left a card & gifts for my arrival! She is one of the sweetest people I have ever met and I am so glad to have stayed at this apartment with her as a host.",5
1208076,6420423,"2013-08-12",6308968,"Jim","This Chelsea apartment is magical! The listing title ""Japanese Experience in Artist Loft"" really captures it. My wife and I stayed there for 7 weeks in summer 2013. It's comfortable, spacious, has a private terrace with stunning city views, and is located close to everything. The owner was most gracious (and a phenomenally gifted artist). If we have the opportunity, we'd definitely stay they again.",5
1215836,162853200,"2017-06-22",21136520,"Genevieve","Ryan was the best host I've ever had through Airbnb. He made me feel at home in his home, and I pretty much didn't want to leave! He has one of the most beautiful apartments I've seen in NYC, and his dog taught me how to love again. 5/5, would recommend.",5
1229484,40633114,"2015-08-01",14601735,"Sidra","I had a great time staying here! Leanne and her roommates are lovely people and the neighborhood is a lot of fun with tons of food and nightlife all within a few block radius. The train station is two blocks away making it extremely convenient to get anywhere.

Leanne was very communicative and always there to help when I need it. Would definitely recommend staying here. Thanks again, Leanne!",5
1235717,18507355,"2014-08-27",1451001,"Charley (Rachael)","Rachel was going out of town, but she coordinated a key exchange very well.  The apartment itself was easily accessible to the 2/3/4/5 (yes!), and it was lovely, air, and filled with light.  I very much enjoyed my stay there.",5
1240530,224586877,"2018-01-03",162421322,"Allan","Thomas is a very kind and respectful person, my girlfriend and I stayed at Thomas's house for a week and he was always very friendly and attentive. Thanks Thomas!",5
1270324,124366199,"2017-01-01",18624625,"Ian","My stay at Jen's was everything I hoped for, and more. She was welcoming, communicative and kind. Her place, a few feet away from a subway station, will zip you anywhere in the city. The room was clean, cozy and quiet, everything you wish to come home to after wearing down your feet. I would stay here again in a pulse, for sure.",5
1271103,28049551,"2015-03-16",7421629,"Lori","Marcelle was a great host. She was always available and helpful.


The apartment was comfortable, clean, and the neighborhood was located in a nice area near many walking distance stores.",5
1292522,182848461,"2017-08-15",21378928,"Adanna","Anthony's place is beautifully decorated (great art, wooden floors, generally tasteful--ideal situation for NYC stay) and conveniently located in Fort Greene/Clinton Hill.   Was fantastic value for the proximity to train stations (incl. Atlantic Terminal for LIRR) and Anthony was communicative throughout our stay to ensure easy key pickup/drop off.  We'd stay again--great Brooklyn find!",5
1294721,20012878,"2014-09-22",13737049,"Horia","The apartment is simply great. Very well located and with a lot of space. it is cosy, trendy and charming. We just felt like home. Peter and Jesse are wonderful guests. They left us some beers in the fridge and made us comfortable enough to feel great. They gave us a lot of advices for visiting and experimenting the real New Yorker and Brooklyner life. Always available, even on holiday, we could contact them for any questions. 
I would definitely recommend Peter and Jesse's stay. 
Horia",4
1325507,183982914,"2017-08-18",1317723,"Michael","We stayed in Mitty's beautiful brownstone for 10 days and it was a great experience.
Mitty is a wonderfully organized host and a really nice person. 
The home and conditions were exactly as described and you can't beat the location. 
I would definitely stay with Mitty again.",5
1327553,6165308,"2013-08-01",7720815,"Michaela","We had a lovely stay at Cass & Juliette's apartment. It's very beautiful, clean and comfortable. They were lovely hosts, provided us with good local information, helped us with subway timings, and were flexible about both arrival & check-out times. 


We have a 22mo son and not having to travel with a crib (they kindly put the side back on their son's) was a relief. Their son was also very generous with his toys, so ours was very happy!


The apartment is quiet and couldn't be better for subway access, very close to Manhattan, also to restaurants, bars, shops etc.. If we were to move to Brooklyn, this would be the area we'd live in, convenient for everything.


Thanks Cass, Juliette & family, we had a lovely stay in your beautiful apartment!",5
1377971,224602749,"2018-01-03",159538785,"Mun-Ju","The location was perfect. Close to the F train, about 5 min away by foot. There was no elevator so it was a little bit hard to walk up the stairs with heavy suitcases. The house was large enough for 2 people to stay. Thank you for letting us stay at your lovely house :)",5
