LotArea,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,BsmtFinSF1,BsmtUnfSF,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,SalePrice
8450,1Fam,1Story,1968,1968,Gable,775,281,SB,1056,1,0,3,6,1,1968,1,304,0,85,0,2010,142000
8400,1Fam,1Story,1970,1970,Gable,804,0,SB,882,1,0,2,4,0,1970,2,525,240,0,0,2010,126000
10500,1Fam,1Story,1971,1971,Gable,432,432,SB,864,1,0,3,5,1,0,0,0,0,0,0,2010,115000
5858,TwnhsE,1Story,1999,1999,Gable,1051,354,SB,1337,2,0,2,5,1,1999,2,511,203,68,0,2010,184000
1680,Twnhs,2Story,1971,1971,Gable,156,327,SB,987,1,1,2,5,0,1971,1,264,275,0,0,2010,96000
1680,Twnhs,2Story,1971,1971,Gable,300,225,SB,1092,1,1,3,6,0,1997,1,320,0,0,0,2010,105500
1680,Twnhs,2Story,1971,1971,Gable,0,525,SB,1092,1,1,3,6,0,1971,1,264,0,0,0,2010,88000
4043,TwnhsE,1Story,1977,1977,Gable,360,709,SB,1069,2,0,2,4,1,1977,2,440,0,55,0,2010,127500
2280,Twnhs,2Story,1975,1975,Gable,514,341,SB,1456,2,1,3,6,1,1975,2,440,173,0,0,2010,149900
2280,Twnhs,1Story,1975,1975,Gable,0,836,SB,836,1,0,2,4,0,1975,1,308,0,30,0,2010,120000
2280,Twnhs,2Story,1978,1978,Gable,311,544,SB,1456,2,1,3,7,1,1978,2,440,26,0,0,2010,146000
12858,1Fam,2Story,2009,2010,Gable,0,1590,SB,2334,2,1,3,10,1,2009,3,751,144,133,0,2010,376162
11478,1Fam,1Story,2007,2008,Gable,1218,486,SB,1704,2,0,3,7,1,2008,3,772,0,50,0,2010,306000
10159,1Fam,1Story,2009,2010,Hip,1646,284,SB,1940,2,1,3,8,1,2010,3,606,168,95,0,2010,395192
12883,1Fam,1Story,2009,2010,Gable,0,1544,SB,1544,2,0,3,7,0,2009,3,868,0,35,0,2010,290941
12182,1Fam,1Story,2005,2005,Gable,1201,340,SB,1541,2,0,3,7,1,2005,2,532,0,70,0,2010,220000
11520,1Fam,1Story,2005,2005,Hip,110,1588,SB,1698,2,0,3,7,1,2005,3,730,192,74,0,2010,275000
14122,1Fam,1Story,2005,2006,Hip,28,1794,SB,1822,2,0,3,8,1,2005,3,678,0,119,0,2010,259000
10171,1Fam,1Story,2004,2004,Gable,2,1515,SB,1535,2,0,3,7,0,2004,2,532,0,0,0,2010,214000
6371,TwnhsE,1Story,2009,2010,Gable,733,625,SB,1358,2,0,2,6,1,2010,2,484,192,35,0,2010,224000
13650,1Fam,2Story,2002,2002,Gable,578,1093,SB,2250,2,1,3,7,1,2002,3,756,238,130,0,2010,320000
7658,TwnhsE,1Story,2005,2005,Hip,456,1296,SB,1752,2,0,2,6,1,2005,2,576,196,82,0,2010,319900
7132,TwnhsE,1Story,2006,2006,Gable,24,1346,SB,1370,2,0,2,6,1,2006,2,484,120,49,0,2010,205000
2628,Twnhs,2Story,2003,2003,Gable,0,764,SB,1626,2,1,2,6,0,2003,2,474,0,27,0,2010,175500
18494,1Fam,1Story,2005,2005,Gable,0,1324,SB,1324,2,0,3,6,0,2005,2,430,36,23,0,2010,199500
3203,TwnhsE,1Story,2006,2006,Gable,16,1129,SB,1145,2,0,2,6,0,2006,2,437,100,116,0,2010,160000
3182,TwnhsE,1Story,2004,2005,Gable,24,1232,SB,1269,2,0,2,6,1,2004,2,430,146,20,0,2010,192000
13300,1Fam,SLvl,2004,2004,Gable,326,58,SB,1374,2,1,3,7,1,2004,2,400,100,0,0,2010,184500
8577,1Fam,2Story,2004,2004,Gable,0,847,SB,1733,2,1,3,7,1,2004,2,433,144,48,0,2010,185088
7750,1Fam,SLvl,2000,2000,Gable,250,134,SB,1430,2,1,3,7,1,2000,2,400,180,0,0,2010,180000
9505,1Fam,2Story,2001,2001,Gable,0,884,SB,2035,2,1,3,8,1,2001,2,434,144,48,0,2010,222500
14774,1Fam,2Story,1999,1999,Gable,0,1393,SB,2599,2,1,4,10,1,1999,3,779,668,30,0,2010,333168
17433,1Fam,2Story,1998,1998,Hip,0,1629,SB,2475,2,1,4,7,1,1998,3,962,23,172,0,2010,355000
10593,1Fam,1Story,1996,1996,Hip,919,801,SB,1720,2,0,3,7,1,1996,2,527,240,56,0,2010,260400
12256,1Fam,2Story,1994,1995,Gable,1032,431,SB,2622,2,1,3,9,2,1994,2,712,186,32,0,2010,325000
11764,1Fam,2Story,1999,2007,Gable,524,628,SB,2270,2,1,4,9,1,1999,3,671,132,57,0,2010,290000
16770,1Fam,2Story,1998,1998,Gable,0,1195,SB,1839,2,1,4,7,0,1998,2,486,0,81,0,2010,221000
14720,1Fam,1.5Fin,1995,1996,Hip,816,1217,SB,3238,2,1,4,9,1,1996,3,666,283,86,0,2010,410000
9215,1Fam,1Story,2009,2010,Hip,0,1218,SB,1218,2,0,2,4,0,2009,2,676,0,136,0,2010,204500
8640,1Fam,2Story,2009,2009,Gable,24,732,SB,1547,2,1,3,7,0,2009,2,614,169,45,0,2010,215200
9000,1Fam,1Story,2008,2008,Gable,1078,488,SB,1566,2,0,3,7,0,2008,2,750,144,168,0,2010,262500
12552,1Fam,2Story,2004,2005,Gable,222,769,SB,1947,2,1,3,8,1,2004,2,678,0,136,0,2010,254900
10440,1Fam,1Story,2005,2005,Gable,1414,54,SB,1468,2,0,2,6,1,2005,2,528,0,102,0,2010,271500
10142,1Fam,2Story,2004,2004,Gable,656,300,SB,2084,2,1,4,8,0,2004,2,618,0,45,0,2010,233000
11920,1Fam,2Story,2004,2004,Gable,0,831,SB,1659,2,1,3,8,0,2004,2,484,144,68,0,2010,181000
8880,1Fam,2Story,1994,2002,Gable,695,253,SB,2110,2,1,3,8,2,1994,2,463,0,130,0,2010,205000
8012,TwnhsE,1Story,1980,1980,Gable,543,261,SB,923,2,0,2,5,1,1980,1,264,80,0,0,2010,143000
11218,1Fam,2Story,1992,1992,Gable,0,1055,SB,1845,2,1,3,8,1,1992,2,462,635,104,0,2010,189000
7892,TwnhsE,1Story,1979,1979,Gable,0,918,SB,918,2,0,2,5,1,1979,1,264,28,0,0,2010,99500
7175,TwnhsE,1Story,1984,1984,Gable,623,0,SB,752,1,0,2,4,0,1984,1,264,353,0,0,2010,125000
9453,1Fam,2Story,1993,2003,Gable,402,594,SB,1744,2,1,3,7,0,1993,2,457,370,70,0,2010,194500
9672,1Fam,1Story,1984,1985,Hip,338,702,SB,1097,2,0,3,6,0,1986,2,480,0,0,0,2010,152000
8400,1Fam,2Story,1980,1981,Gable,0,650,SB,1564,2,1,3,7,1,1980,2,476,0,50,0,2010,171000
9800,1Fam,1Story,1920,1950,Gable,0,816,FA,1012,1,0,2,5,0,1920,1,429,121,0,0,2010,67500
8930,Duplex,1.5Fin,1978,1978,Gable,0,0,SB,1902,2,0,4,8,0,1978,2,539,0,0,0,2010,112000
11782,1Fam,SFoyer,1961,1995,Gable,899,210,SB,1155,1,0,3,6,0,1987,2,576,192,0,0,2010,148000
8450,1Fam,1Story,1965,2009,Gable,553,224,SB,894,1,0,3,5,1,1973,1,336,416,144,0,2010,138500
9819,1Fam,1Story,1967,1967,Gable,450,432,SB,900,1,0,3,5,0,1970,1,280,0,0,0,2010,122000
7500,1Fam,1Story,1963,1963,Gable,824,216,SB,1040,1,1,3,5,0,1963,1,308,0,0,0,2010,133000
6897,1Fam,1Story,1962,2010,Gable,659,381,SB,1040,1,1,3,6,0,1962,1,260,0,104,0,2010,127000
15410,1Fam,1Story,1974,2002,Hip,126,223,SB,1494,2,0,3,7,2,1974,2,461,296,0,0,2010,169000
10186,1Fam,2Story,1992,1992,Gable,674,76,SB,1923,2,1,3,8,1,1992,2,564,240,39,0,2010,190000
13143,1Fam,2Story,1993,1993,Gable,250,0,SB,2349,2,1,4,9,1,1993,3,762,32,130,0,2010,362500
11134,1Fam,2Story,1992,1993,Gable,1129,261,SB,2225,2,1,4,7,1,1992,3,713,198,30,0,2010,285000
4835,TwnhsE,1Story,2004,2005,Gable,1298,190,SB,1488,2,0,2,6,1,2004,2,506,168,50,0,2010,260000
3515,TwnhsE,2Story,2004,2004,Gable,0,840,SB,1680,2,1,2,3,0,2004,2,588,0,111,0,2010,190000
3215,TwnhsE,2Story,2004,2004,Gable,280,320,SB,1200,2,1,2,4,0,2004,2,480,0,172,0,2010,155000
3182,TwnhsE,2Story,2004,2005,Gable,0,600,SB,1200,2,1,2,4,0,2004,2,480,0,172,0,2010,151000
2544,Twnhs,2Story,2004,2005,Gable,368,190,SB,1200,2,1,2,4,0,2004,2,480,0,172,0,2010,149500
2544,Twnhs,2Story,2005,2005,Gable,376,224,SB,1236,2,1,2,4,0,2005,2,480,0,166,0,2010,152000
4403,1Fam,1Story,2009,2009,Gable,578,892,SB,1478,2,1,2,7,1,2009,2,484,0,144,0,2010,222000
2117,Twnhs,2Story,2000,2000,Gable,378,378,SB,1573,2,1,3,5,0,2000,2,440,0,32,0,2010,177500
2980,TwnhsE,2Story,2000,2000,Gable,466,290,SB,1512,2,1,2,5,0,2000,2,440,0,32,0,2010,177000
2572,Twnhs,2Story,1999,1999,Hip,604,92,SB,1416,2,1,3,6,0,1999,2,484,0,44,0,2010,155000
2403,TwnhsE,2Story,2003,2003,Gable,244,286,SB,1080,2,1,2,4,0,2003,2,496,0,50,0,2010,147110
12853,1Fam,1Story,2010,2010,Gable,1032,610,SB,1418,1,1,1,6,1,2010,3,852,160,192,0,2010,267916
7379,1Fam,2Story,2000,2000,Gable,484,491,SB,1848,2,1,3,7,1,2000,2,592,280,184,0,2010,254000
4420,TwnhsE,1Story,1980,1980,Gable,728,0,SB,788,1,0,1,3,1,1980,2,484,133,42,0,2010,155000
3880,Twnhs,1Story,1978,1978,Gable,1052,174,SB,1226,1,0,1,4,1,1978,2,484,223,78,0,2010,206000
13517,1Fam,2Story,1976,2005,Gable,533,192,SB,1479,2,1,3,6,0,1976,2,475,0,44,0,2010,130500
8000,1Fam,1Story,2002,2002,Gable,833,659,SB,1492,2,0,3,6,1,2002,2,596,277,137,0,2010,230000
10456,1Fam,1Story,1967,1967,Hip,506,1323,SB,1829,2,0,4,8,0,1967,2,535,0,76,0,2010,218500
10791,1Fam,2Story,1993,1993,Gable,1137,143,SB,2495,2,1,4,9,1,1993,2,660,224,32,0,2010,243500
10603,1Fam,1Story,1977,2001,Gable,1200,410,SB,1610,2,0,3,6,2,1977,2,480,168,68,0,2010,205000
18837,1Fam,1.5Fin,1978,1978,Gable,687,491,SB,1891,3,0,3,7,1,1978,2,678,0,69,0,2010,212500
10421,1Fam,2Story,1988,1988,Gable,394,586,SB,1714,2,1,3,7,1,1988,2,496,228,66,0,2010,196500
9360,1Fam,1Story,1972,2006,Hip,982,179,SB,1381,1,1,3,5,1,1972,2,676,0,0,0,2010,197500
9600,1Fam,2Story,1971,1971,Gable,329,386,SB,1645,1,2,4,7,0,1971,2,441,0,78,0,2010,171000
9600,1Fam,1Story,1966,1966,Hip,698,534,SB,1232,1,1,3,6,0,1966,2,490,0,224,0,2010,142250
9790,1Fam,1Story,1963,1963,Hip,569,678,SB,1328,1,1,3,6,2,1963,2,528,0,26,0,2010,143000
9320,1Fam,1Story,1959,1959,Gable,569,381,SB,1225,1,1,3,6,0,0,0,0,352,0,0,2010,128950
9900,1Fam,1Story,1966,1966,Hip,1059,150,SB,1209,1,0,3,6,0,1966,2,504,0,0,0,2010,159000
9680,1Fam,1Story,1967,1967,Gable,1010,500,SB,1510,2,0,3,6,0,1967,2,517,0,40,0,2010,178900
10600,1Fam,SLvl,1964,1964,Gable,0,533,SB,1775,2,0,3,8,0,1964,2,480,0,172,0,2010,136300
14112,1Fam,SLvl,1964,1964,Hip,1014,138,SB,1152,1,0,3,6,1,1964,2,484,227,0,0,2010,180500
8800,1Fam,SFoyer,1963,1963,Gable,763,173,SB,1054,1,0,3,6,0,1963,2,480,120,0,0,2010,137500
13260,Duplex,1Story,1962,2001,Hip,1500,228,SB,1728,2,0,6,10,0,0,0,0,0,0,0,2010,84900
9717,1Fam,1Story,1950,1996,Hip,49,0,FA,1078,1,0,2,5,0,1950,1,240,366,0,0,2010,142125
9724,1Fam,1.5Fin,1952,2002,Gable,670,470,SB,2461,2,0,3,7,2,1994,2,400,0,0,0,2010,197600
17360,1Fam,1.5Fin,1949,1950,Gable,300,482,SB,1556,2,0,3,6,1,1949,2,470,0,0,0,2010,172500
7207,1Fam,1Story,1958,2008,Gable,696,162,SB,858,1,0,2,4,0,0,0,0,117,0,0,2010,116500
5350,1Fam,1Story,1940,1966,Gable,0,728,SB,1306,1,0,3,6,0,0,0,0,263,0,0,2010,76500
9920,1Fam,1Story,1954,1954,Gable,354,412,SB,1063,1,0,3,6,0,1954,1,280,0,0,0,2010,128000
9600,1Fam,SLvl,1955,1972,Gable,674,350,SB,1520,1,0,3,7,2,1955,1,364,0,0,0,2010,153000
7800,1Fam,1Story,1954,1954,Gable,540,728,SB,1268,1,0,2,7,1,1954,1,244,0,98,0,2010,132000
11380,1Fam,SFoyer,1966,2008,Gable,944,136,SB,1128,1,0,2,5,1,1966,1,315,238,0,0,2010,178000
11600,Duplex,2Story,1960,1960,Gable,443,662,FA,2274,2,0,5,12,0,1960,2,480,0,0,0,2010,154300
19900,1Fam,1Story,1970,1989,Gable,912,1035,SB,2207,2,0,3,7,1,1970,2,576,301,0,0,2010,180000
16492,1Fam,1Story,1966,2002,Gable,247,557,SB,1888,2,1,2,6,1,1966,2,578,0,0,0,2010,190000
8267,Duplex,1Story,1958,1958,Gable,0,1604,SB,1604,2,0,4,8,0,1958,2,576,42,0,0,2010,135000
8197,1Fam,1Story,2003,2009,Gable,1188,292,SB,1480,2,0,3,7,0,2003,2,620,252,73,0,2010,214000
8050,1Fam,1Story,1959,1959,Hip,856,125,SB,1143,1,0,3,6,0,1959,1,308,0,0,0,2010,136000
10552,1Fam,1Story,1959,1959,Hip,1018,380,SB,1700,1,1,4,6,1,1959,2,447,0,38,0,2010,165500
8400,1Fam,1Story,1957,1957,Gable,922,392,SB,1314,1,0,3,5,0,1957,1,294,250,0,0,2010,145000
8760,1Fam,1Story,1959,1959,Hip,0,1194,SB,1194,1,0,3,6,0,1959,1,312,0,0,0,2010,148000
12160,1Fam,1Story,1959,1959,Hip,1000,188,SB,1188,1,0,3,6,0,1959,2,531,0,0,0,2010,142000
9300,1Fam,1Story,1960,1960,Gable,697,571,SB,1264,1,0,3,6,2,1960,2,461,0,0,0,2010,167500
10725,1Fam,1Story,1959,1959,Hip,936,270,SB,1206,1,0,3,6,0,1959,1,312,0,21,0,2010,108538
10032,1Fam,1Story,1959,1959,Gable,734,510,SB,1580,1,1,3,6,2,1956,2,440,0,28,0,2010,159500
8382,1Fam,1.5Fin,1956,1956,Gable,0,832,FA,1337,1,0,3,5,0,1956,1,263,0,0,0,2010,108000
10950,1Fam,1Story,1952,1952,Gable,339,525,SB,1064,1,0,2,4,0,1952,1,318,0,0,0,2010,135000
10895,1Fam,1Story,1955,1955,Gable,648,324,SB,972,1,0,3,5,0,1955,1,305,0,0,0,2010,122500
13587,2fmCon,1Story,1958,1958,Gable,532,456,SB,988,1,0,2,5,0,1958,1,264,0,0,0,2010,119000
7922,1Fam,1Story,1953,2007,Gable,731,326,SB,1057,1,0,3,5,0,1953,1,246,0,52,0,2010,109000
7898,1Fam,1Story,1920,1994,Gable,0,576,SB,985,1,0,2,4,0,1989,2,676,0,0,0,2010,105000
7200,1Fam,1Story,1955,2007,Gable,0,0,SB,827,1,0,2,5,1,1967,1,392,0,0,0,2010,107500
10200,1Fam,1Story,1954,2003,Gable,320,404,SB,1086,1,0,3,6,0,1989,2,490,0,0,0,2010,144900
5868,1Fam,1Story,1956,2000,Gable,248,448,SB,936,1,0,2,4,0,1956,1,308,0,0,0,2010,129000
17503,1Fam,1.5Fin,1948,1950,Gable,0,912,SB,1458,1,0,3,6,1,1948,1,330,192,0,0,2010,97500
6979,Duplex,SFoyer,1980,1980,Gable,1056,0,SB,1056,0,0,0,4,0,1980,2,576,264,56,0,2010,144000
9830,1Fam,1Story,1959,2006,Gable,72,733,SB,1287,1,0,3,7,1,1997,2,576,364,17,0,2010,162000
11275,1Fam,SLvl,1967,2007,Mansard,0,710,SB,2978,2,1,5,11,1,1961,2,564,240,0,0,2010,242000
8064,1Fam,1.5Fin,1948,2004,Gable,481,161,SB,1224,1,0,3,5,0,1950,1,280,414,0,0,2010,132000
7500,1Fam,1Story,1959,1994,Hip,340,0,SB,1246,1,1,3,6,0,1959,1,305,218,0,0,2010,154000
8520,1Fam,1.5Fin,1952,1952,Gable,507,403,SB,1385,2,0,4,6,0,2000,2,720,0,0,0,2010,166000
7200,1Fam,1Story,1951,2000,Gable,234,180,SB,900,1,0,3,5,0,2005,2,576,222,32,0,2010,134800
10000,1Fam,1Story,1962,1962,Hip,0,1116,SB,1116,1,1,3,5,0,1962,2,440,0,0,0,2010,160000
7635,1Fam,1Story,1960,1960,Gable,588,237,SB,1175,1,1,3,6,0,1960,2,484,0,0,0,2010,148000
9760,1Fam,1Story,1963,1984,Hip,717,415,SB,1395,1,0,2,7,1,1963,2,440,657,0,0,2010,192000
7700,1Fam,2Story,1966,1966,Gable,0,756,SB,1839,1,1,4,7,1,1966,2,442,0,124,0,2010,155000
4800,1Fam,1.5Fin,1900,1954,Hip,48,661,SB,1844,1,0,3,9,2,1900,1,240,84,0,0,2010,80400
8800,1Fam,1.5Fin,1910,2004,Gable,0,576,SB,1140,1,0,3,7,0,0,0,0,0,160,0,2010,96500
4485,1Fam,1Story,1920,1950,Gable,579,357,SB,936,1,0,2,5,1,0,0,0,51,0,0,2010,109500
8960,1Fam,1Story,1927,1950,Gable,0,1008,FA,1028,1,0,2,5,1,1927,2,360,0,0,0,2010,115000
5805,1Fam,1Story,1957,1957,Hip,274,0,SB,1347,1,0,3,6,0,1957,2,551,0,0,0,2010,143000
5790,1Fam,2Story,1915,1950,Gambrel,0,840,SB,1605,2,0,3,8,0,1915,1,379,0,0,0,2010,107400
4608,1Fam,1Story,1945,1950,Gable,0,747,SB,747,1,0,2,4,0,1945,1,220,0,0,0,2010,80000
7200,1Fam,1Story,1940,1992,Gable,510,278,SB,804,1,0,2,4,2,1940,1,240,0,0,0,2010,119000
5500,1Fam,1.5Fin,1929,2001,Gable,234,0,SB,1316,1,0,3,6,0,1974,2,484,0,0,0,2010,130000
6900,1Fam,1.5Fin,1938,2000,Gable,0,827,SB,1251,1,0,3,6,0,1938,1,240,0,0,0,2010,119000
11851,1Fam,1.5Fin,1948,2009,Gable,780,247,SB,1633,1,0,3,7,1,1948,1,240,0,100,0,2010,129000
8239,1Fam,1.5Fin,1920,1962,Gable,176,832,SB,1245,1,0,3,6,0,1962,1,315,0,0,0,2010,1.00E+05
8520,1Fam,1Story,1928,2003,Gable,0,624,SB,720,1,0,2,5,0,2005,2,484,106,0,0,2010,105900
9600,1Fam,2Story,1900,2003,Gable,0,930,SB,1566,2,0,3,7,0,1930,1,288,54,228,0,2010,150000
10800,1Fam,1.5Fin,1915,1950,Gable,686,0,SB,1652,2,0,4,7,0,1961,1,416,0,0,0,2010,139000
9000,1Fam,2Story,1890,2002,Gable,0,346,SB,2268,3,0,3,7,0,2003,2,624,0,108,0,2010,240000
9045,2fmCon,2Story,1910,1950,Gable,0,840,FF,2256,2,0,4,12,0,0,0,0,0,18,0,2010,76500
7407,1Fam,1Story,1957,1996,Gable,600,312,FA,1236,1,0,2,6,0,1957,2,923,0,158,0,2010,149700
7740,1Fam,2Story,1910,1950,Gable,0,622,SB,1363,1,0,3,6,0,1966,2,528,0,0,0,2010,125500
11340,2fmCon,2Story,1885,1950,Gable,0,777,SB,2290,2,0,4,11,0,1971,2,560,0,0,0,2010,122500
10560,1Fam,2Story,1922,1994,Gable,283,455,SB,1470,1,1,2,6,0,1970,2,624,0,0,0,2010,140750
5830,1Fam,1.5Fin,1950,1997,Gable,788,200,SB,1612,1,1,3,7,0,1950,1,363,0,0,0,2010,128500
7793,1Fam,2.5Unf,1922,2005,Gable,474,634,FA,2068,1,1,3,8,1,1928,1,315,0,0,0,2010,209500
5000,1Fam,1Story,1925,1950,Gable,188,577,FF,765,1,0,2,4,0,1926,1,200,135,0,0,2010,87000
6000,1Fam,1.5Fin,1939,1950,Gable,452,144,SB,1132,1,0,2,5,0,1939,1,240,0,0,0,2010,134000
6000,1Fam,1.5Fin,1940,1950,Gable,264,308,FA,1196,1,1,3,6,2,1973,2,576,0,0,0,2010,128000
6360,1Fam,1.5Fin,1942,1950,Gable,360,316,FA,1453,1,1,3,7,2,1942,1,240,0,0,0,2010,132000
6000,1Fam,1.5Fin,1948,1950,Gable,300,480,SB,1416,1,1,3,6,0,1948,1,312,221,0,0,2010,139900
6240,1Fam,1.5Fin,1936,1980,Gable,276,252,SB,1040,1,0,2,5,0,1979,2,624,306,0,0,2010,123900
6240,1Fam,1.5Fin,1930,1950,Gable,448,480,FF,1536,2,0,4,7,1,1930,2,480,0,10,0,2010,138400
6120,1Fam,1Story,1923,1950,Gable,960,164,SB,1068,1,0,2,5,1,1923,1,288,0,0,0,2010,109500
10300,1Fam,2Story,1921,1950,Gable,0,576,SB,1710,2,0,3,9,0,1990,2,480,12,11,0,2010,140000
8094,1Fam,1.5Fin,1915,1950,Gable,0,888,SB,1962,1,1,4,9,1,1915,2,572,160,0,0,2010,149500
12900,1Fam,2Story,1912,2009,Gable,0,780,SB,1560,1,1,3,7,0,0,0,0,344,0,0,2010,159900
3068,1Fam,2Story,1920,1993,Gable,0,662,SB,1324,1,0,3,6,0,1920,1,180,0,0,0,2010,122000
8472,Duplex,1Story,1963,1963,Gable,104,0,SB,816,1,0,2,5,0,1963,2,516,106,0,0,2010,110000
7630,2fmCon,2Story,1900,1996,Gable,0,360,SB,1812,2,0,4,8,1,1999,2,672,344,0,0,2010,140000
24090,1Fam,2Story,1940,1950,Gable,0,1032,SB,2403,2,0,4,10,2,1940,1,349,56,0,0,2010,244400
15263,1Fam,1Story,1959,1959,Gable,766,656,SB,1675,2,0,3,8,2,1959,1,365,0,132,0,2010,173000
10632,1Fam,1.5Fin,1917,1950,Gable,0,689,SB,1224,1,1,3,6,0,1917,1,180,0,0,0,2010,107500
9900,2fmCon,1.5Fin,1915,1950,Gable,1026,186,SB,1392,1,0,3,6,0,0,0,0,0,0,0,2010,1.00E+05
6001,1Fam,1.5Fin,1940,1950,Gable,368,232,SB,919,1,0,3,5,0,1940,1,231,0,0,0,2010,95000
6449,1Fam,2Story,1907,1950,Gambrel,73,634,SB,1884,1,1,4,7,0,0,0,0,0,0,0,2010,93369
6048,2fmCon,1.5Fin,1910,1950,Gable,736,120,SB,1680,2,0,2,7,1,1910,2,450,56,144,0,2010,114900
6342,1Fam,1.5Fin,1875,1996,Gable,0,780,SB,1020,1,0,2,6,0,0,0,0,0,0,0,2010,94000
10773,Duplex,1Story,1967,1967,Gable,704,1128,SB,1832,2,0,4,8,0,0,0,0,0,58,0,2010,136000
10778,Duplex,1Story,1968,1968,Hip,0,1768,SB,1768,2,0,4,8,0,0,0,0,0,0,0,2010,136500
11625,2fmCon,1Story,1965,1965,Hip,841,198,SB,1039,1,1,3,6,0,1965,2,504,0,0,0,2010,131500
11341,1Fam,1Story,1957,1996,Hip,1302,90,SB,1392,1,1,3,5,1,1957,2,528,0,0,0,2010,121500
8521,1Fam,1Story,1967,1967,Gable,842,70,SB,912,1,0,3,5,1,1974,1,336,0,0,0,2010,125000
8246,1Fam,1Story,1968,2001,Gable,188,204,SB,1060,1,0,3,6,1,1968,1,270,406,90,0,2010,154000
7800,1Fam,1Story,1966,2008,Hip,240,150,SB,892,1,0,3,5,0,1966,1,416,0,0,0,2010,137900
9364,1Fam,2Story,1969,1969,Gable,371,292,SB,1352,1,1,4,7,0,1969,1,299,379,36,0,2010,158000
7832,1Fam,1Story,1968,1968,Hip,775,89,SB,864,1,0,2,4,0,1969,1,280,226,0,0,2010,137250
7424,Duplex,SFoyer,1978,1978,Gable,1319,0,SB,1373,1,0,3,5,2,1978,2,591,0,0,0,2010,160250
11227,1Fam,2Story,1968,1968,Gable,267,0,SB,1440,1,1,4,7,2,1968,2,480,192,38,0,2010,163000
